model,transform,condition,ed_over_d
QNN,identity,1.0,0.8984248324316566
rebuilt classical 2000x2000,pairing=9;m=-1,6.854101966249688,0.6445327066620109
rebuilt classical 2000x2000,pairing=9;m=+1,6.854101966249688,0.6444859401646109
rebuilt classical 2000x2000,pairing=9;m=+2,33.970562748477185,0.591822048815277
rebuilt classical 2000x2000,pairing=9;m=+3,118.9915960451559,0.5518560420945587
rebuilt classical 2000x2000,pairing=9;m=+4,321.99689437999075,0.5255022252708661
rebuilt classical 2000x2000,pairing=9;m=+5,726.9986244815769,0.5087051372285067
rebuilt classical 2000x2000,pairing=10;m=-5,726.9986244815769,0.49728020837555675
rebuilt classical 2000x2000,pairing=10;m=-4,321.99689437999075,0.5161352905766988
rebuilt classical 2000x2000,pairing=10;m=-3,118.9915960451559,0.5448010711763146
rebuilt classical 2000x2000,pairing=10;m=-2,33.970562748477185,0.5873957214722181
rebuilt classical 2000x2000,pairing=10;m=-1,6.854101966249688,0.6431972530531237
rebuilt classical 2000x2000,pairing=10;m=+1,6.854101966249688,0.6426404975914599
rebuilt classical 2000x2000,pairing=10;m=+2,33.970562748477185,0.5867763968922823
rebuilt classical 2000x2000,pairing=10;m=+3,118.9915960451559,0.5443944129633087
rebuilt classical 2000x2000,pairing=10;m=+4,321.99689437999075,0.515918416409531
rebuilt classical 2000x2000,pairing=10;m=+5,726.9986244815769,0.49712822051042815
rebuilt classical 2000x2000,pairing=11;m=-5,726.9986244815769,0.515675458330734
rebuilt classical 2000x2000,pairing=11;m=-4,321.99689437999075,0.5308604545205655
rebuilt classical 2000x2000,pairing=11;m=-3,118.9915960451559,0.5555729010689657
rebuilt classical 2000x2000,pairing=11;m=-2,33.970562748477185,0.594675996916499
rebuilt classical 2000x2000,pairing=11;m=-1,6.854101966249688,0.6469277049895744
rebuilt classical 2000x2000,pairing=11;m=+1,6.854101966249688,0.6439086412243491
rebuilt classical 2000x2000,pairing=11;m=+2,33.970562748477185,0.5914776382779396
rebuilt classical 2000x2000,pairing=11;m=+3,118.9915960451559,0.5529260598351532
rebuilt classical 2000x2000,pairing=11;m=+4,321.99689437999075,0.5286337883528406
rebuilt classical 2000x2000,pairing=11;m=+5,726.9986244815769,0.513570275858173
rebuilt classical 2000x2000,pairing=12;m=-5,726.9986244815769,0.49379104732048323
rebuilt classical 2000x2000,pairing=12;m=-4,321.99689437999075,0.5116563818824901
rebuilt classical 2000x2000,pairing=12;m=-3,118.9915960451559,0.539207060582034
rebuilt classical 2000x2000,pairing=12;m=-2,33.970562748477185,0.5817297804275191
rebuilt classical 2000x2000,pairing=12;m=-1,6.854101966249688,0.6404515866672018
rebuilt classical 2000x2000,pairing=12;m=+1,6.854101966249688,0.6380655521639305
rebuilt classical 2000x2000,pairing=12;m=+2,33.970562748477185,0.5793552548765876
rebuilt classical 2000x2000,pairing=12;m=+3,118.9915960451559,0.5368494808036244
rebuilt classical 2000x2000,pairing=12;m=+4,321.99689437999075,0.509406525040494
rebuilt classical 2000x2000,pairing=12;m=+5,726.9986244815769,0.4916273035803396
rebuilt classical 2000x2000,pairing=13;m=-5,726.9986244815769,0.5116263035326178
rebuilt classical 2000x2000,pairing=13;m=-4,321.99689437999075,0.5275112571323954
rebuilt classical 2000x2000,pairing=13;m=-3,118.9915960451559,0.5526837565234157
rebuilt classical 2000x2000,pairing=13;m=-2,33.970562748477185,0.5919102779311446
rebuilt classical 2000x2000,pairing=13;m=-1,6.854101966249688,0.6448761982156748
rebuilt classical 2000x2000,pairing=13;m=+1,6.854101966249688,0.6434868113307536
rebuilt classical 2000x2000,pairing=13;m=+2,33.970562748477185,0.5893688849643632
rebuilt classical 2000x2000,pairing=13;m=+3,118.9915960451559,0.5500023561108449
rebuilt classical 2000x2000,pairing=13;m=+4,321.99689437999075,0.5252307116070692
rebuilt classical 2000x2000,pairing=13;m=+5,726.9986244815769,0.5097766842469785
rebuilt classical 2000x2000,pairing=14;m=-5,726.9986244815769,0.4911412132603634
rebuilt classical 2000x2000,pairing=14;m=-4,321.99689437999075,0.509491675720686
rebuilt classical 2000x2000,pairing=14;m=-3,118.9915960451559,0.5378157494679504
rebuilt classical 2000x2000,pairing=14;m=-2,33.970562748477185,0.5812394126052995
rebuilt classical 2000x2000,pairing=14;m=-1,6.854101966249688,0.6402461112895329
rebuilt classical 2000x2000,pairing=14;m=+1,6.854101966249688,0.6376971143539324
rebuilt classical 2000x2000,pairing=14;m=+2,33.970562748477185,0.5783832525665764
rebuilt classical 2000x2000,pairing=14;m=+3,118.9915960451559,0.5353912645079182
rebuilt classical 2000x2000,pairing=14;m=+4,321.99689437999075,0.5075168608368591
rebuilt classical 2000x2000,pairing=14;m=+5,726.9986244815769,0.48949051350225214
rebuilt classical 2000x2000,pairing=15;m=-5,726.998624481578,0.5081407542558564
rebuilt classical 2000x2000,pairing=15;m=-4,321.99689437999075,0.5233721510797984
rebuilt classical 2000x2000,pairing=15;m=-3,118.99159604515596,0.5483993084986796
rebuilt classical 2000x2000,pairing=15;m=-2,33.970562748477185,0.5888194056251334
rebuilt classical 2000x2000,pairing=15;m=-1,6.854101966249688,0.6443285537055554
rebuilt classical 2000x2000,pairing=15;m=+1,6.854101966249688,0.63992055058263
rebuilt classical 2000x2000,pairing=15;m=+2,33.970562748477185,0.5847446829813765
rebuilt classical 2000x2000,pairing=15;m=+3,118.99159604515596,0.5453243154573354
rebuilt classical 2000x2000,pairing=15;m=+4,321.99689437999075,0.5209506025797654
rebuilt classical 2000x2000,pairing=15;m=+5,726.998624481578,0.5061934986736907
rebuilt classical 2000x2000,pairing=16;m=-5,726.9986244815769,0.5018212051601376
rebuilt classical 2000x2000,pairing=16;m=-4,321.99689437999075,0.5199370694269224
rebuilt classical 2000x2000,pairing=16;m=-3,118.9915960451559,0.5478636773284751
rebuilt classical 2000x2000,pairing=16;m=-2,33.970562748477185,0.590144065443495
rebuilt classical 2000x2000,pairing=16;m=-1,6.854101966249688,0.6454215959733165
rebuilt classical 2000x2000,pairing=16;m=+1,6.854101966249688,0.6408209936170628
rebuilt classical 2000x2000,pairing=16;m=+2,33.970562748477185,0.5855003904908994
rebuilt classical 2000x2000,pairing=16;m=+3,118.9915960451559,0.544321453341871
rebuilt classical 2000x2000,pairing=16;m=+4,321.99689437999075,0.5171359339931183
rebuilt classical 2000x2000,pairing=16;m=+5,726.9986244815769,0.4994486032148986
rebuilt classical 2000x2000,pairing=17;m=-5,726.9986244815769,0.5184970393676249
rebuilt classical 2000x2000,pairing=17;m=-4,321.99689437999075,0.5318504164980605
rebuilt classical 2000x2000,pairing=17;m=-3,118.9915960451559,0.5532046641287758
rebuilt classical 2000x2000,pairing=17;m=-2,33.970562748477185,0.5899355365361653
rebuilt classical 2000x2000,pairing=17;m=-1,6.854101966249688,0.6433630073692705
rebuilt classical 2000x2000,pairing=17;m=+1,6.854101966249688,0.6443143503698323
rebuilt classical 2000x2000,pairing=17;m=+2,33.970562748477185,0.5904458778257433
rebuilt classical 2000x2000,pairing=17;m=+3,118.9915960451559,0.5522878327040002
rebuilt classical 2000x2000,pairing=17;m=+4,321.99689437999075,0.5297556133840036
rebuilt classical 2000x2000,pairing=17;m=+5,726.9986244815769,0.5158976651614702
rebuilt classical 2000x2000,pairing=18;m=-5,726.9986244815769,0.5159471599840968
rebuilt classical 2000x2000,pairing=18;m=-4,321.99689437999075,0.5339940926109699
rebuilt classical 2000x2000,pairing=18;m=-3,118.9915960451559,0.5618122796469153
rebuilt classical 2000x2000,pairing=18;m=-2,33.970562748477185,0.6021605882591866
rebuilt classical 2000x2000,pairing=18;m=-1,6.854101966249688,0.6516606426494818
rebuilt classical 2000x2000,pairing=18;m=+1,6.854101966249688,0.6452641525687637
rebuilt classical 2000x2000,pairing=18;m=+2,33.970562748477185,0.5963891858240516
rebuilt classical 2000x2000,pairing=18;m=+3,118.9915960451559,0.5578828669421613
rebuilt classical 2000x2000,pairing=18;m=+4,321.99689437999075,0.5314445050348243
rebuilt classical 2000x2000,pairing=18;m=+5,726.9986244815769,0.5142470659489227
rebuilt classical 2000x2000,pairing=19;m=-5,726.9986244815769,0.523647901323215
rebuilt classical 2000x2000,pairing=19;m=-4,321.99689437999075,0.5373068596499293
rebuilt classical 2000x2000,pairing=19;m=-3,118.9915960451559,0.558634688873225
rebuilt classical 2000x2000,pairing=19;m=-2,33.970562748477185,0.5944156542465883
rebuilt classical 2000x2000,pairing=19;m=-1,6.854101966249688,0.6450063164980108
rebuilt classical 2000x2000,pairing=19;m=+1,6.854101966249688,0.6491600681460616
rebuilt classical 2000x2000,pairing=19;m=+2,33.970562748477185,0.5989192133795951
rebuilt classical 2000x2000,pairing=19;m=+3,118.9915960451559,0.5623895418936822
rebuilt classical 2000x2000,pairing=19;m=+4,321.99689437999075,0.5409244533942558
rebuilt classical 2000x2000,pairing=19;m=+5,726.9986244815769,0.5272037735364268
rebuilt classical 2000x2000,pairing=20;m=-5,726.998624481578,0.49286797583458625
rebuilt classical 2000x2000,pairing=20;m=-4,321.99689437999075,0.5110381314304021
rebuilt classical 2000x2000,pairing=20;m=-3,118.99159604515596,0.5393927011264164
rebuilt classical 2000x2000,pairing=20;m=-2,33.970562748477185,0.5825621914319672
rebuilt classical 2000x2000,pairing=20;m=-1,6.854101966249688,0.640309367391144
rebuilt classical 2000x2000,pairing=20;m=+1,6.854101966249688,0.6416617239385961
rebuilt classical 2000x2000,pairing=20;m=+2,33.970562748477185,0.5840447551196702
rebuilt classical 2000x2000,pairing=20;m=+3,118.99159604515596,0.5404373432503344
rebuilt classical 2000x2000,pairing=20;m=+4,321.99689437999075,0.511677142249612
rebuilt classical 2000x2000,pairing=20;m=+5,726.998624481578,0.4932810366331112
rebuilt classical 2000x2000,pairing=21;m=-5,726.9986244815769,0.5078171812205825
rebuilt classical 2000x2000,pairing=21;m=-4,321.99689437999075,0.5253324946466517
rebuilt classical 2000x2000,pairing=21;m=-3,118.9915960451559,0.552239204360589
rebuilt classical 2000x2000,pairing=21;m=-2,33.970562748477185,0.5919755583555499
rebuilt classical 2000x2000,pairing=21;m=-1,6.854101966249688,0.6439156754948299
rebuilt classical 2000x2000,pairing=21;m=+1,6.854101966249688,0.6496925362652252
rebuilt classical 2000x2000,pairing=21;m=+2,33.970562748477185,0.5985444784110804
rebuilt classical 2000x2000,pairing=21;m=+3,118.9915960451559,0.5574401843858169
rebuilt classical 2000x2000,pairing=21;m=+4,321.99689437999075,0.5292765120281955
rebuilt classical 2000x2000,pairing=21;m=+5,726.9986244815769,0.5109672977733178
rebuilt classical 2000x2000,pairing=22;m=-5,726.9986244815769,0.49756195089046873
rebuilt classical 2000x2000,pairing=22;m=-4,321.99689437999075,0.5145247930086583
rebuilt classical 2000x2000,pairing=22;m=-3,118.9915960451559,0.5410221247184961
rebuilt classical 2000x2000,pairing=22;m=-2,33.97056274847714,0.5815556228229053
rebuilt classical 2000x2000,pairing=22;m=-1,6.854101966249688,0.6369671832552604
rebuilt classical 2000x2000,pairing=22;m=+1,6.854101966249688,0.6482875447125757
rebuilt classical 2000x2000,pairing=22;m=+2,33.97056274847714,0.5918209007951143
rebuilt classical 2000x2000,pairing=22;m=+3,118.9915960451559,0.5476673751191516
rebuilt classical 2000x2000,pairing=22;m=+4,321.99689437999075,0.518858936191765
rebuilt classical 2000x2000,pairing=22;m=+5,726.9986244815769,0.5008656626295082
rebuilt classical 2000x2000,pairing=23;m=-5,726.9986244815769,0.4946850860429278
